"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","p_era","p_opp_batting_avg","p_opp_on_base_avg","p_total_stolen_base","p_pickoff_attempt_1b","p_pickoff_attempt_2b","p_pickoff_attempt_3b","p_pickoff_1b","p_pickoff_2b","p_pickoff_3b","p_out_fly","p_out_ground","p_out_line_drive","p_passed_ball","p_swinging_strike","p_total_pickoff","p_total_pickoff_attempt","p_total_pickoff_error","barrel_batted_rate","solidcontact_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_swing_miss","in_zone_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","pitch_hand","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break_z_induced","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break_z_induced","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break_z_induced","ch_avg_break","ch_range_speed","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break_z_induced","cu_avg_break","cu_range_speed","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break_z_induced","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break_z_induced","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break_z_induced","fs_avg_break","fs_range_speed","n_kn_formatted","kn_avg_speed","kn_avg_spin","kn_avg_break_x","kn_avg_break_z","kn_avg_break_z_induced","kn_avg_break","kn_range_speed","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break_z_induced","st_avg_break","st_range_speed","n_sv_formatted","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z","sv_avg_break_z_induced","sv_avg_break","sv_range_speed","n_fo_formatted","fo_avg_speed","fo_avg_spin","fo_avg_break_x","fo_avg_break_z","fo_avg_break_z_induced","fo_avg_break","fo_range_speed","n_sc_formatted","sc_avg_speed","sc_avg_spin","sc_avg_break_x","sc_avg_break_z","sc_avg_break_z_induced","sc_avg_break","sc_range_speed","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break_z_induced","fastball_avg_break","fastball_range_speed","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break_z_induced","breaking_avg_break","breaking_range_speed","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break_z_induced","offspeed_avg_break","offspeed_range_speed"
"Hendricks, Kyle",543294,2025,14.5,9.3,".229",".405",".308","5.18",,,"3","7","1","0","0","0","0","31","44","7","0","44","0","8","0",9.3,6.2,3.9,31,61.6,11.3,25.8,73.2,50.4,71.7,88.3,24,49.6,47.7,15.8,44.4,28.7,44.2,27.1,41.1,32.6,17.8,8.5,"R",44.1,"14.6","86.4","2041","-5","-22","14.7","15.7","1.2",,,,,,,,,"35.7","79.1","2102","-9.6","-34.9","8.9","14.3","1","14.5","71.8","2843","15.5","-65.5","-11.6","19.6","1.3","35.2","86","1981","-14.1","-29.6","7.4","16","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49.9","86.2","1998","-11.4","-27.3","9.6","15.9","1","14.5","71.8","2843","15.5","-65.5","-11.6","19.6","1.3","35.7","79.1","2102","-9.6","-34.9","8.9","14.3","1"
"Skenes, Paul",694973,2025,24.7,7,".201",".332",".260","2.63",,,"0","32","0","0","0","0","0","25","60","14","1","105","0","32","2",4.8,3.4,1.4,39.7,71.3,20.3,42.3,57.7,50,67.6,79.4,64,50,45.2,26.5,49.5,47.9,35.6,16.4,49.3,21.9,24,4.8,"R",21.1,"34.6","98","2248","-14.8","-17.3","11.3","18.7","1.1","7","84.8","2318","3.7","-30.7","7.5","8.9","1.2","7.4","87.7","1865","-17.6","-31.5","4.3","18.2","1.3","5.5","83.1","2457","6.7","-42.3","-2.8","7.4","1.5","7.1","97.2","2297","-18.2","-23.4","5.7","19.2","1.2",,,,,,,,,"24.3","93.7","1733","-13.9","-31.1","0.1","14.4","1.2",,,,,,,,,"14","84.3","2329","11.6","-32.9","5.8","13.2","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"41.7","97.9","2257","-15.4","-18.4","10.3","18.8","1.1","26.6","84.2","2353","8.5","-34.3","4.5","10.9","1.4","31.7","92.3","1764","-14.8","-31.2","1.1","15.3","2.9"
"Morton, Charlie",450203,2025,19,12.8,".307",".540",".397","8.35",,,"1","16","0","0","0","0","0","22","36","5","1","58","0","16","1",10.8,4.2,0.8,46.7,67.9,14.1,46.4,53.6,54.6,75.9,85.9,31,45.4,40.8,24,44.4,50.8,31.7,17.5,40.8,29.2,25,5,"R",22.2,"33.3","93.9","2340","-11.3","-18.1","13.1","17.4","1.4",,,,,,,,,"10.1","87.3","1956","-15.2","-38.1","-2","15.6","1.4","34.5","81.2","3125","15.1","-50.9","-9","17.8","1.3","12.7","93.6","2287","-18.2","-27","4.5","18.9","1.4","9.4","88.4","2486","1.1","-28.6","6.3","6.8","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.5","92.9","2353","-10.8","-21.9","10","16","2.6","34.5","81.2","3125","15.1","-50.9","-9","17.8","1.3","10.1","87.3","1956","-15.2","-38.1","-2","15.6","1.4"
"Smith-Shawver, AJ",700363,2025,24.8,10.6,".218",".324",".306","2.76",,,"4","6","0","0","0","0","0","22","23","11","0","55","0","6","0",8.7,9.7,4.9,47.6,64.3,20.8,47.9,52.1,53.1,77.8,79.2,37,46.9,41.1,30.1,46,39.8,36.9,23.3,38.8,29.1,27.2,4.9,"R",44.9,"46","95.3","2101","-9","-14.1","16.1","18.6","1.7","4.9","86.9","2169","1.4","-27.6","8.6","9.1","1.5",,,,,,,,,"14.7","77.2","2294","8.6","-57","-10.7","13.9","1.5",,,,,,,,,,,,,,,,,"34.3","83.1","1055","-9.8","-32.2","7.6","14.1","2.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46","95.3","2101","-9","-14.1","16.1","18.6","1.7","19.6","79.6","2263","6.8","-49.6","-5.9","12.7","4.2","34.3","83.1","1055","-9.8","-32.2","7.6","14.1","2.2"
"Irvin, Jake",663623,2025,15.2,7.2,".233",".422",".291","4.00",,,"4","8","1","0","0","0","0","43","50","21","0","61","0","9","0",13.4,4.1,2.3,48.3,62.7,10.8,43.8,55,41.3,72.6,88.6,32,58.7,45.3,17.8,46.7,45.3,34.9,19.8,39.5,31.4,23.3,5.8,"R",27.5,"28.1","92","2340","-8.6","-17.6","14.6","17.1","1.7","0.1","80.5","2437","3.5","-37.2","4.7","5.9",,"12.4","85.6","2220","-15.3","-32.8","4.5","16.1","2.1","38.9","78.3","2485","13.6","-48.2","-3.5","14.4","2.2","17.2","91.4","2308","-16.5","-25.9","7","18.1","1.7","3.2","87.8","2448","1.3","-28.4","6.9","7.9","1.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.6","91.5","2336","-10.7","-21.3","11.4","16.8","2","39","78.3","2485","13.6","-48.1","-3.5","14.4","2.2","12.4","85.6","2220","-15.3","-32.8","4.5","16.1","2.1"
"Elder, Bryce",693821,2025,18.2,7.2,".255",".467",".309","4.50",,,"5","11","0","0","0","0","0","23","57","9","0","54","0","11","0",9.7,8.2,4.5,47,63.6,11.5,37.2,61.7,51.6,82.1,88.5,25,48.4,45.8,19.2,44,48.5,32.8,18.7,52.2,26.1,21.6,0,"R",51.7,"12","92","2202","-3.4","-17.4","14.8","15.3","1.3","39.6","84.4","2462","2","-37.8","0.7","2.8","1.2","10","86.4","1998","-12.8","-32.2","4.5","13.9","1.1",,,,,,,,,"38.4","91.3","2075","-14.4","-24.5","8.4","16.8","1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.4","91.5","2106","-11.8","-22.8","9.9","16.5","1.2","39.6","84.4","2462","2","-37.8","0.7","2.8","1.2","10","86.4","1998","-12.8","-32.2","4.5","13.9","1.1"
"Canning, Griffin",656288,2025,24.1,9.2,".234",".342",".305","2.36",,,"3","20","2","0","0","0","0","18","43","12","0","79","0","22","0",6,9.5,1.7,48.3,63.8,15,53.5,45.5,48.7,69,84.5,35,51.3,44.8,26.6,46.9,37.9,39.7,22.4,54.3,18.1,22.4,5.2,"R",43,"34.6","93.8","2151","-10","-15.1","16.3","19.2","1.2","35","87.4","2751","1.7","-40.6","-4.8","6.1","1.4","23","89.4","1460","-15.8","-33.1","1.3","16.2","1.5","4.2","81.2","2499","13.1","-48","-6.1","14.6","1.3","0.8","94.4","2224","-13.8","-14.7","16.4","21.4","1.4","2.4","89.3","2491","1.3","-27.1","7.1","7.4","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.8","93.5","2174","-9.3","-15.8","15.7","18.5","1.7","39.2","86.8","2724","2.9","-41.4","-4.9","7","2.5","23","89.4","1460","-15.8","-33.1","1.3","16.2","1.5"
"Blanco, Ronel",669854,2025,24.9,9.8,".209",".373",".285","4.04",,,"4","12","0","0","0","0","0","28","31","10","0","99","0","12","0",8,5.3,8.8,29.2,64.3,20.1,53.4,46.6,52.5,80,79.9,43,47.5,42.9,32.1,47.4,45.1,30.1,24.8,36.3,33.6,21.2,8.8,"R",45.5,"36.2","93.3","2260","-6.7","-12.9","18.9","20.2","1.1","31","85.7","2137","3","-30.7","6.6","7.6","1.2","12.8","84.5","1523","-13.6","-32.2","6.5","15.4","1.4","20","80.3","2215","10.5","-44.5","-1.5","11","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.2","93.3","2260","-6.7","-12.9","18.9","20.2","1.1","50.9","83.6","2168","5.9","-36.1","3.4","9","3","12.8","84.5","1523","-13.6","-32.2","6.5","15.4","1.4"
"Webb, Logan",657277,2025,29.3,6.3,".243",".325",".290","2.60",,,"0","14","0","0","1","0","0","17","66","6","0","88","1","14","0",5.6,6.3,2.8,39.2,61.6,14.6,52,48,50.8,76.8,84.7,38,49.2,42.5,26.7,44.8,32.9,42.7,24.5,55.2,15.4,27.3,2.1,"R",23.6,"6.9","93","2115","-10","-20.3","11.3","15.1","1.1",,,,,,,,,"17.5","86.7","1526","-9.6","-42","-5.6","11.7","1.2",,,,,,,,,"38.8","92.8","1966","-16.8","-31.2","0.9","17","1.1","7.9","90.8","2187","-2.8","-25.5","7.8","8.6","1.2",,,,,,,,,,,,,,,,,"28.9","84.8","2495","14.5","-39.3","-1","14.7","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"53.5","92.5","2017","-13.9","-28.9","3.2","15.5","1.3","28.9","84.8","2495","14.5","-39.3","-1","14.7","1.3","17.5","86.7","1526","-9.6","-42","-5.6","11.7","1.2"
"Pfaadt, Brandon",694297,2025,20.4,6,".266",".442",".324","3.73",,,"2","18","1","0","0","0","0","24","46","25","0","78","0","19","1",10.3,9,1.3,47.1,69,14.9,41.4,58.6,53.2,81.5,85.1,40,46.8,45.8,24,49,39.4,34.2,26.5,43.2,21.3,31,4.5,"R",29.4,"31.3","93.3","2567","-6","-15.2","16.2","17.4","1.2",,,,,,,,,"18","87.4","2085","-16.2","-31.1","4.9","17.1","1.5","11.4","83.2","2848","9","-44.9","-5.2","10.6","1.7","17.5","93.1","2421","-15.2","-24","7.6","17.2","1.1",,,,,,,,,,,,,,,,,,,,,,,,,"21.8","84.2","2871","11.6","-33","5.7","13.2","1.2",,,,,,,,,,,,,,,,,,,,,,,,,"48.8","93.2","2515","-9.3","-18.4","13.1","17.3","1.1","33.2","83.8","2863","10.7","-37.1","1.9","12.3","1.4","18","87.4","2085","-16.2","-31.1","4.9","17.1","1.5"
"Walker, Taijuan",592836,2025,20.8,9.4,".220",".318",".302","2.62",,,"4","20","1","0","2","0","0","15","36","12","1","45","2","21","0",4.9,8.8,2.9,39.2,61.6,13.1,33.8,66.3,50.3,76.5,86.9,24,49.7,44.1,19.4,44,40.2,33.3,26.5,39.2,21.6,31.4,7.8,"R",40.4,"11","92.4","2182","-9.4","-14.2","18.1","20.4","1.3","14","84.2","2505","6.2","-34.6","3.9","7.8","1.4",,,,,,,,,"6.4","75.1","2460","8.1","-59.9","-11.1","13.9","1.5","17.7","92.3","2025","-15.2","-19.3","12.9","20","1.3","26.4","87","2447","3","-22.8","13","13.5","1.5","24.4","87.6","1486","-13.7","-30.9","4.8","14.8","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.2","89.8","2258","-5.3","-20","14","17","3.1","20.4","81.4","2491","6.8","-42.5","-0.8","9.7","4.2","24.4","87.6","1486","-13.7","-30.9","4.8","14.8","1.2"
"Imanaga, Shota",684007,2025,18.8,7.7,".211",".386",".272","2.82",,,"0","12","0","0","0","0","0","41","31","12","0","82","0","12","0",10.5,10.5,2.3,39.1,72.1,22.1,34,66,45.5,79.2,77.9,60,54.5,47.1,25.3,54.2,38.3,37.6,24.1,27.1,38.3,24.1,10.5,"L",36.9,"49.1","91.2","2495","12","-14.3","19.1","22.6","1.2","0.6","80.8","2571","-2.1","-35","7.3","8","1.5","1.4","82","1285","12","-31.1","9.5","15.4","1.4","3","72.4","2484","-9.7","-66","-13","16.4","1.6","0.4","88.6","1888","15.3","-25.3","9.9","18.3","1.4",,,,,,,,,"34.2","82.8","1247","13.5","-33.5","6.6","15.3","1.2",,,,,,,,,"11.1","80.4","2540","-11.8","-40","2.8","12.5","1.4",,,,,,,,,,,,,,,,,,,,,,,,,"49.6","91.1","2490","12","-14.4","19","22.6","1.3","14.7","78.7","2530","-11","-45.1","-0.2","13.1","3.3","35.7","82.8","1248","13.5","-33.4","6.7","15.3","1.2"
"Fried, Max",608331,2025,22.8,5.7,".190",".270",".250","1.11",,,"2","14","2","0","3","1","0","34","64","11","1","76","3","16","0",8.2,5.7,5.7,39,65.8,16.2,39.3,60.7,49.1,80.6,83.8,47,50.9,41.4,22.6,46.4,41.5,36.5,22,51.6,23.9,19.5,5,"L",47.2,"41.5","93.9","2265","-0.1","-19.5","11.5","11.9","2","0.8","81.8","2676","-7","-46.4","-5.4","9","1.6","9.6","84.2","1802","12.5","-35","3.4","13.1","2","14.5","75.7","2975","-11.5","-66.3","-17.7","21.2","2.1","18","93.4","2128","10.1","-26.6","4.6","11.4","1.9","3.3","86.1","2411","-4.1","-33.3","3.5","6.4","1.6",,,,,,,,,,,,,,,,,"12.3","80.1","2892","-18.3","-51","-7.8","20.1","1.9",,,,,,,,,,,,,,,,,,,,,,,,,"62.8","93.4","2234","2.6","-22.3","9.1","11.5","2.8","27.6","77.8","2929","-14.4","-58.9","-12.9","20.3","3.1","9.6","84.2","1802","12.5","-35","3.4","13.1","2"
"Ortiz, Luis",682847,2025,26.1,11.2,".229",".392",".314","4.78",,,"8","17","4","0","0","0","0","22","38","9","0","90","0","21","0",14.4,6.8,0.8,49.2,69.5,22,53.2,45.7,50.2,76.5,77.6,56,49.8,43.3,30.4,47.4,37.3,39.8,22.9,43.2,27.1,21.2,8.5,"R",23.6,"30.1","96.1","2269","-12.1","-17.1","12.7","17.6","1.2","25.8","85.3","2377","6.8","-36.7","0.8","7.7","1.2","12.6","89.2","1457","-15","-32.9","1.5","15.4","1.1",,,,,,,,,"13.6","95","2269","-15.8","-26.8","3.7","16.3","1.1","17.9","91","2339","0.9","-23.7","9.1","9.4","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61.6","94.4","2289","-9.1","-21.2","9.6","15","2.7","25.8","85.3","2377","6.8","-36.7","0.8","7.7","1.2","12.6","89.2","1457","-15","-32.9","1.5","15.4","1.1"
"Burnes, Corbin",669203,2025,19.8,11.4,".231",".406",".327","2.95",,,"2","28","0","0","0","0","0","13","47","13","0","57","0","28","0",8.8,7.1,5.3,46.9,64.4,11.5,45.9,54.1,53.9,79.5,88,22,46.1,41,23.1,44.8,39.8,43.4,16.8,49.6,17.7,27.4,5.3,"R",41.7,,,,,,,,,"9.9","88.1","2863","6.2","-33.2","1.9","7.1","1.9","9","88.5","2194","-15.5","-27.7","7.5","17.4","1.4","19","80","2820","10","-54.6","-11.6","15.4","1.4","9.3","95.7","2512","-12.8","-18.7","11.2","17.2","1.3","52.7","94","2692","2.7","-18.8","12.1","12.5","1.3",,,,,,,,,,,,,,,,,"0.2","84.7","2813","10.1","-41.9","-3.9","10.8",,,,,,,,,,,,,,,,,,,,,,,,,,"62","94.3","2665","0.4","-18.8","12","13.2","1.4","29.1","82.8","2835","8.7","-47.2","-6.9","12.6","4.2","9","88.5","2194","-15.5","-27.7","7.5","17.4","1.4"
"Luzardo, Jesús",666200,2025,26,6.8,".244",".328",".297","2.00",,,"11","27","4","0","4","0","0","28","46","10","0","113","4","31","0",5.5,9.6,1.4,42.5,65.4,18.6,56.3,43.7,49.8,68.9,81.1,53,50.2,44.2,30.7,48.4,35.6,37,27.4,43.8,24.7,24,7.5,"L",33.9,"33.4","96.4","2229","11.9","-15.3","14.4","18.8","1.2","9.3","86.6","2398","0.4","-35.3","1.2","2.8","1.4","17.1","88","1907","16.8","-28","7.5","18.5","1.2",,,,,,,,,"12.6","95.8","2238","17.2","-21.7","8.4","19.2","1.4",,,,,,,,,,,,,,,,,,,,,,,,,"27.6","86","2227","-9.1","-36.5","0.6","9.7","1.6",,,,,,,,,,,,,,,,,,,,,,,,,"46","96.2","2231","13.3","-17","12.7","18.9","1.3","37","86.1","2270","-6.7","-36.2","0.7","8","1.6","17.1","88","1907","16.8","-28","7.5","18.5","1.2"
"King, Michael",650633,2025,27.9,8,".187",".308",".259","2.32",,,"0","5","0","0","2","0","0","33","36","8","0","93","1","5","0",10.2,6.3,6.3,40.9,63.9,21,44.5,55.5,51.4,68.8,79,54,48.6,43.7,28.1,44.4,40.9,34.6,24.4,40.2,29.9,18.1,11.8,"R",27.3,"26.1","93.7","2375","-7.2","-14.4","17.2","18.7","1.2","6.7","83.8","2494","4.5","-40.1","-0.8","5.2","1.5","20.8","86.8","2029","-19.9","-32","4.8","20.6","1.2",,,,,,,,,"27.3","92.5","2309","-19.1","-27.9","4.6","19.8","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"19.1","82.3","2781","15","-37.7","3.2","15.6","1.7",,,,,,,,,,,,,,,,,,,,,,,,,"53.4","93.1","2341","-13.3","-21.3","10.8","19.3","1.4","25.8","82.7","2707","12.3","-38.3","2.2","12.9","1.8","20.8","86.8","2029","-19.9","-32","4.8","20.6","1.2"
"Sasaki, Roki",808963,2025,15.6,14.3,".225",".411",".351","4.72",,,"4","9","1","0","0","0","0","27","31","13","0","37","0","10","0",10.5,7.6,2.9,44.8,65.1,10,50.8,49.2,51.1,83,90,19,48.9,36.5,20.4,42.8,38.1,31.4,30.5,38.1,32.4,24.8,4.8,"R",44.1,"50.2","96","2080","-10.5","-15.5","14.3","17.9","1.6","16.9","82","1869","11.7","-43.1","-2.3","12.5","1.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32.9","84.8","482","-0.8","-42.2","-3.9","6.1","1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.2","96","2080","-10.5","-15.5","14.3","17.9","1.6","16.9","82","1869","11.7","-43.1","-2.3","12.5","1.6","32.9","84.8","482","-0.8","-42.2","-3.9","6.1","1.5"
"López, Pablo",641154,2025,27.7,4.5,".214",".317",".252","2.77",,,"3","5","0","0","0","0","0","20","35","6","0","74","0","5","0",6.7,9.6,4.8,36.5,65.1,16.7,47.9,52.1,50.1,79.2,82.8,35,49.9,41.1,26.6,47.4,35.6,33.7,30.8,44.2,23.1,23.1,9.6,"R",35.3,"43.5","94.5","2147","-6.4","-16.4","14.2","15.7","1.1",,,,,,,,,"20.8","86.9","1841","-15.3","-33.7","2.8","16","1.3","9.2","82.1","2610","7.7","-53","-12.2","14.5","1.5","7.8","93.5","2035","-14.7","-23.7","7.7","16.8","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"18.7","84.9","2385","12.2","-38","0.2","12.6","1.2",,,,,,,,,,,,,,,,,,,,,,,,,"51.3","94.4","2130","-7.6","-17.5","13.3","15.9","1.2","27.8","84","2459","10.7","-43","-3.9","13.2","1.9","20.8","86.9","1841","-15.3","-33.7","2.8","16","1.3"
"Sears, JP",676664,2025,19.9,3.9,".222",".363",".265","2.80",,,"2","6","1","0","0","0","0","33","40","12","1","57","0","7","0",7.4,9.6,3,40,63.5,15.4,26.5,73.5,47.2,68.3,84.2,37,52.8,42.6,18.6,47.2,37,40.7,22.2,37.8,34.1,19.3,8.9,"L",25,"39.8","92.3","2026","11.7","-18.5","13.8","18.2","1.3","11.5","79.7","2312","-4.2","-40.9","2.2","6.9","1.5","14.7","82.7","1490","16.4","-36.6","3.6","16.9","1.4",,,,,,,,,"1","89.7","1841","14.1","-26.2","7.4","16","1.4",,,,,,,,,,,,,,,,,,,,,,,,,"33.1","78.4","2287","-12.9","-39.1","5.8","14.5","1.6",,,,,,,,,,,,,,,,,,,,,,,,,"40.8","92.2","2021","11.8","-18.7","13.6","18.1","1.4","44.6","78.7","2293","-10.6","-39.5","4.9","12.5","1.7","14.7","82.7","1490","16.4","-36.6","3.6","16.9","1.4"
"Wheeler, Zack",554430,2025,33.2,4.9,".200",".367",".247","2.95",,,"0","8","0","0","1","0","0","26","47","10","0","122","1","8","0",8.1,5.9,3.7,36,68.6,24.2,49.6,50.4,46.1,77.6,75.8,79,53.9,47.2,31.1,50.7,41.2,33.8,25,40.4,30.9,20.6,8.1,"R",25.1,"41.9","95.5","2443","-9.2","-14.9","15.2","17.9","1.2",,,,,,,,,,,,,,,,,"9.9","80.8","2751","11.9","-52.5","-10.4","15.9","1.2","12.5","94.5","2260","-17.1","-22.6","8.3","19.1","1.3","11.4","91.7","2523","0.9","-22.3","10","10.4","1.3","11.7","86.8","1553","-13.3","-29.3","7.1","15.2","1.4",,,,,,,,,"12.7","83.9","2584","11.7","-34.7","4.3","12.9","1.2",,,,,,,,,,,,,,,,,,,,,,,,,"65.7","94.7","2422","-8.9","-17.6","13","16.8","2","22.6","82.6","2657","11.8","-42.5","-2.2","14.2","2","11.7","86.8","1553","-13.3","-29.3","7.1","15.2","1.4"
"Bassitt, Chris",605135,2025,24.9,4.5,".264",".404",".303","3.16",,,"5","7","1","1","0","0","0","25","52","9","0","88","0","9","1",7.1,4.5,5.2,38.3,68.5,18.7,36.2,63.8,48.9,88.5,81.3,56,51.1,45.4,24,50.2,36.4,38.3,25.3,46.1,24,22.1,7.8,"R",32.9,"4.1","91.2","2124","-8.2","-20.7","12.4","15.2","1.4","2.1","81.1","2409","8","-43.2","-1.4","8.5","1.7","0.8","83.7","1425","-19.4","-37.2","2.1","19.8","1.5","16.8","71","2248","16.2","-67.8","-12.3","20.4","1.2","42.2","91.2","2106","-17.1","-27.8","5.5","18.1","1.1","19.1","87.8","2238","0.9","-27.1","8.4","9.1","1.8","8.3","83.2","1351","-14.9","-40.5","-0.7","15.2","1.3",,,,,,,,,"6.5","72.5","2314","20","-53.8","-0.8","20.1","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"65.5","90.2","2146","-11.3","-27.1","6.8","15.3","2.2","25.4","72.2","2278","16.5","-62.2","-8.4","19.4","3.1","9.1","83.3","1358","-15.3","-40.2","-0.4","15.6","1.4"
"Newcomb, Sean",656794,2025,23.9,7.7,".336",".386",".392","3.51",,,"3","4","0","0","0","0","0","19","26","7","1","51","0","4","0",4.8,6.7,4.8,49,64.8,12.9,37.1,61.8,49.8,76.4,87.1,26,50.2,40,20.3,47,31.7,37.5,30.8,48.1,23.1,24,4.8,"L",32,"30.1","92.6","2317","9.4","-16","16.1","18.7","1.1",,,,,,,,,"8.3","84.9","1550","12.8","-33.8","4.3","14.1","1.2","6.8","78.6","2879","-13","-59.6","-14.5","19.5","1.3","15.9","91.6","2314","16.3","-27.9","4.9","17.1","1.3","21.7","89","2514","-0.4","-24.7","9.6","9.8","1.1",,,,,,,,,,,,,,,,,,,,,,,,,"17.2","81.3","2802","-17.1","-48.1","-6.3","18.3","1.2",,,,,,,,,,,,,,,,,"67.7","91.2","2379","7.9","-21.6","11.4","15.5","2","24","80.5","2824","-15.9","-51.4","-8.6","18.6","1.7","8.3","84.9","1550","12.8","-33.8","4.3","14.1","1.2"
"Lord, Brad",695418,2025,19.2,8.9,".302",".426",".372","5.17",,,"0","4","2","0","0","0","0","12","29","15","0","49","0","6","0",4.9,9.7,2.9,41.7,72,18.7,35,65,44.5,82.9,80.4,41,55.5,43.1,22.2,50.9,29.1,33,37.9,43.7,18.4,34,3.9,"R",19.8,"52.6","94.9","2266","-15","-20.3","10.1","18.2","1.2","19.5","85","2517","1.3","-38.6","-0.9","2.8","1.4","10","85.8","1878","-17.4","-33","4.3","18","1.4",,,,,,,,,"17.5","94.8","2183","-17.1","-26.1","4.3","17.8","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.4","82.3","2683","7.5","-45.2","-5","9","1.4",,,,,,,,,,,,,,,,,"70.1","94.9","2245","-15.6","-21.7","8.6","18.1","1.2","19.9","84.9","2520","1.4","-38.7","-1","3","1.5","10","85.8","1878","-17.4","-33","4.3","18","1.4"
"Sánchez, Cristopher",650911,2025,28.4,9.3,".222",".352",".311","2.91",,,"0","2","0","0","0","0","0","15","44","13","0","91","0","2","0",4.5,6.4,2.7,40,65.3,20.6,53.7,46.3,52.4,77.6,79.4,45,47.6,42.8,31.6,46.5,37.3,33.6,29.1,55.5,18.2,24.5,1.8,"L",30.8,,,,,,,,,"15.7","85.8","2072","-1.7","-35.5","1.6","3.2","1.3","35.8","86.4","2031","16.9","-37.8","-0.8","17.1","1.5",,,,,,,,,"48.5","95.6","2139","18.6","-24.8","5.4","19.5","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.5","95.6","2139","18.6","-24.8","5.4","19.5","1.4","15.7","85.8","2072","-1.7","-35.5","1.6","3.2","1.3","35.8","86.4","2031","16.9","-37.8","-0.8","17.1","1.5"
